"circuit","perim","raceNumber","series","season","numQual","fastestRaceSec"
"bahrain2010",6299,1,"f1",2010,3,118.287
"melbourne",5303,2,"f1",2010,3,88.358
"sepang",5543,3,"f1",2010,3,97.054
"shanghai",5451,4,"f1",2010,3,102.061
"catalunya",4655,5,"f1",2010,3,84.357
"monte carlo",3340,6,"f1",2010,3,75.192
"istanbul",5338,7,"f1",2010,3,89.165
"montreal",4361,8,"f1",2010,3,76.972
"valencia s",5419,9,"f1",2010,3,98.766
"silverstone",5891,10,"f1",2010,3,90.874
"hockenheim",4574,11,"f1",2010,3,75.824
"hungaroring",4381,12,"f1",2010,3,82.362
"spa francorchamps",7004,13,"f1",2010,3,109.069
"monza",5793,14,"f1",2010,3,84.139
"marina bay",5073,15,"f1",2010,3,107.976
"suzuka",5807,16,"f1",2010,3,93.474
"korea",5615,17,"f1",2010,3,110.257
"interlagos",4309,18,"f1",2010,3,73.851
"yas marina",5554,19,"f1",2010,3,101.274
"melbourne",5303,1,"f1",2011,3,88.947
"sepang",5543,2,"f1",2011,3,100.571
"shanghai",5451,3,"f1",2011,3,98.993
"istanbul",5338,4,"f1",2011,3,89.703
"catalunya",4655,5,"f1",2011,3,86.727
"monte carlo",3340,6,"f1",2011,3,76.234
"montreal",4361,7,"f1",2011,3,76.956
"valencia s",5419,8,"f1",2011,3,101.852
"silverstone",5891,9,"f1",2011,3,93.391
"nurburgring",5148,10,"f1",2011,3,94.302
"hungaroring",4381,11,"f1",2011,3,83.415
"spa francorchamps",7004,12,"f1",2011,3,109.883
"monza",5793,13,"f1",2011,3,86.187
"marina bay",5073,14,"f1",2011,3,108.454
"suzuka",5807,15,"f1",2011,3,96.568
"korea",5615,16,"f1",2011,3,99.605
"buddh",5125,17,"f1",2011,3,87.249
"yas marina",5554,18,"f1",2011,3,102.612
"interlagos",4309,19,"f1",2011,3,75.324
"melbourne",5303,1,"f1",2012,3,89.187
"sepang",5543,2,"f1",2012,3,100.722
"shanghai",5451,3,"f1",2012,3,99.96
"bahrain",5412,4,"f1",2012,3,96.379
"catalunya",4655,5,"f1",2012,3,86.25
"monte carlo",3340,6,"f1",2012,3,77.296
"montreal",4361,7,"f1",2012,3,75.752
"valencia s",5419,8,"f1",2012,3,102.163
"silverstone",5891,9,"f1",2012,3,94.608
"hockenheim",4574,10,"f1",2012,3,78.725
"hungaroring",4381,11,"f1",2012,3,84.136
"spa francorchamps",7004,12,"f1",2012,3,112.822
"monza",5793,13,"f1",2012,3,87.239
"marina bay",5073,14,"f1",2012,3,111.033
"suzuka",5807,15,"f1",2012,3,95.774
"korea",5615,16,"f1",2012,3,102.037
"buddh",5125,17,"f1",2012,3,88.203
"yas marina",5554,18,"f1",2012,3,103.964
"americas",5513,19,"f1",2012,3,99.347
"interlagos",4309,20,"f1",2012,3,78.069
"melbourne",5303,1,"f1",2013,3,89.274
"sepang",5543,2,"f1",2013,3,99.199
"shanghai",5451,3,"f1",2013,3,96.808
"bahrain",5412,4,"f1",2013,3,96.961
"catalunya",4655,5,"f1",2013,3,86.217
"monte carlo",3340,6,"f1",2013,3,76.577
"montreal",4361,7,"f1",2013,3,76.182
"silverstone",5891,8,"f1",2013,3,93.401
"nurburgring",5148,9,"f1",2013,3,93.468
"hungaroring",4381,10,"f1",2013,3,84.069
"spa francorchamps",7004,11,"f1",2013,3,110.756
"monza",5793,12,"f1",2013,3,85.849
"marina bay",5065,13,"f1",2013,3,108.574
"korea",5615,14,"f1",2013,3,101.38
"suzuka",5807,15,"f1",2013,3,94.587
"buddh",5125,16,"f1",2013,3,87.679
"yas marina",5554,17,"f1",2013,3,103.434
"americas",5513,18,"f1",2013,3,99.856
"interlagos",4309,19,"f1",2013,3,75.436
"melbourne",5303,1,"f1",2014,3,92.478
"sepang",5543,2,"f1",2014,3,103.066
"bahrain",5412,3,"f1",2014,3,97.02
"shanghai",5451,4,"f1",2014,3,100.402
"catalunya",4655,5,"f1",2014,3,88.918
"monte carlo",3340,6,"f1",2014,3,78.479
"montreal",4361,7,"f1",2014,3,78.504
"red bull ring",4326,8,"f1",2014,3,72.142
"silverstone",5891,9,"f1",2014,3,97.176
"hockenheim",4574,10,"f1",2014,3,79.908
"hungaroring",4381,11,"f1",2014,3,85.724
"spa francorchamps",7004,12,"f1",2014,3,110.511
"monza",5793,13,"f1",2014,3,88.004
"marina bay",5065,14,"f1",2014,3,110.417
"suzuka",5807,15,"f1",2014,3,111.6
"sochi",5848,16,"f1",2014,3,100.896
"americas",5513,17,"f1",2014,3,101.379
"interlagos",4309,18,"f1",2014,3,73.555
"yas marina",5554,19,"f1",2014,3,104.496
"melbourne",5303,1,"f1",2015,3,90.945
"sepang",5543,2,"f1",2015,3,102.062
"shanghai",5451,3,"f1",2015,3,102.208
"bahrain",5412,4,"f1",2015,3,96.311
"catalunya",4655,5,"f1",2015,3,88.27
"monte carlo",3337,6,"f1",2015,3,78.063
"montreal",4361,7,"f1",2015,3,76.987
"red bull ring",4326,8,"f1",2015,3,71.235
"silverstone",5891,9,"f1",2015,3,96.61
"hungaroring",4381,10,"f1",2015,3,84.821
"spa francorchamps",7004,11,"f1",2015,3,112.416
"monza",5793,12,"f1",2015,3,86.672
"marina bay",5065,13,"f1",2015,3,110.041
"suzuka",5807,14,"f1",2015,3,96.145
"sochi",5848,15,"f1",2015,3,100.071
"americas",5513,16,"f1",2015,2,100.666
"mexico city",4304,17,"f1",2015,3,80.521
"interlagos",4309,18,"f1",2015,3,74.832
"yas marina",5554,19,"f1",2015,3,104.517
"melbourne",5303,1,"f1",2016,3,88.997
"bahrain",5412,2,"f1",2016,3,94.482
"shanghai",5451,3,"f1",2016,3,99.824
"sochi",5848,4,"f1",2016,3,99.094
"catalunya",4655,5,"f1",2016,3,86.948
"monte carlo",3337,6,"f1",2016,3,77.939
"montreal",4361,7,"f1",2016,3,75.599
"baku",6003,8,"f1",2016,3,106.485
"red bull ring",4326,9,"f1",2016,3,68.411
"silverstone",5891,10,"f1",2016,3,95.548
"hungaroring",4381,11,"f1",2016,3,83.086
"hockenheim",4574,12,"f1",2016,3,78.442
"spa francorchamps",7004,13,"f1",2016,3,111.583
"monza",5793,14,"f1",2016,3,85.34
"marina bay",5065,15,"f1",2016,3,107.187
"sepang",5543,16,"f1",2016,3,96.424
"suzuka",5807,17,"f1",2016,3,95.118
"americas",5513,18,"f1",2016,3,99.877
"mexico city",4304,19,"f1",2016,3,81.134
"interlagos",4309,20,"f1",2016,3,85.305
"yas marina",5554,21,"f1",2016,3,103.729
"melbourne",5303,1,"f1",2017,3,86.538
"shanghai",5451,2,"f1",2017,3,95.378
"bahrain",5412,3,"f1",2017,3,92.798
"sochi",5848,4,"f1",2017,3,96.844
"catalunya",4655,5,"f1",2017,3,83.593
"monte carlo",3337,6,"f1",2017,3,74.82
"montreal",4361,7,"f1",2017,3,74.551
"baku",6003,8,"f1",2017,3,103.441
"red bull ring",4318,9,"f1",2017,3,67.411
"silverstone",5891,10,"f1",2017,3,90.621
"hungaroring",4381,11,"f1",2017,3,80.182
"spa francorchamps",7004,12,"f1",2017,3,106.577
"monza",5793,13,"f1",2017,3,83.361
"marina bay",5065,14,"f1",2017,3,105.008
"sepang",5543,15,"f1",2017,3,94.08
"suzuka",5807,16,"f1",2017,3,93.144
"americas",5513,17,"f1",2017,3,97.766
"mexico city",4304,18,"f1",2017,3,78.785
"interlagos",4309,19,"f1",2017,3,71.044
"yas marina",5554,20,"f1",2017,3,100.65
"melbourne",5303,1,"f1",2018,3,85.945
"bahrain",5412,2,"f1",2018,3,93.74
"shanghai",5451,3,"f1",2018,3,95.785
"baku",6003,4,"f1",2018,3,105.149
"catalunya",4655,5,"f1",2018,3,78.441
"monte carlo",3337,6,"f1",2018,3,74.26
"montreal",4361,7,"f1",2018,3,73.864
"paul ricard",5842,8,"f1",2018,3,94.225
"red bull ring",4318,9,"f1",2018,3,66.957
"silverstone",5891,10,"f1",2018,3,90.696
"hockenheim",4574,11,"f1",2018,3,75.545
"hungaroring",4381,12,"f1",2018,3,80.012
"spa francorchamps",7004,13,"f1",2018,3,106.286
"monza",5793,14,"f1",2018,3,82.497
"marina bay",5063,15,"f1",2018,3,101.905
"sochi",5848,16,"f1",2018,3,95.861
"suzuka",5807,17,"f1",2018,3,92.318
"americas",5513,18,"f1",2018,3,97.392
"mexico city",4304,19,"f1",2018,3,78.741
"interlagos",4309,20,"f1",2018,3,70.54
"yas marina",5554,21,"f1",2018,3,100.867
